#
#"Frequency / MHz"	"S2,1 [SPara1] [Magnitude in dB]"
#---------------------------------------------------
0.83231250000000	-3.5832892080829
0.83662500000000	-3.6203550531450
0.84093750000000	-3.6582620979124
0.84525000000000	-3.6953988317072
0.84956250000000	-3.7346279347580
0.85387500000000	-3.7735707984596
0.85818750000000	-3.8126948788491
0.86250000000000	-3.8525423787736
0.86681250000000	-3.8928493649713
0.87112500000000	-3.9335428317256
0.87543750000000	-3.9746182948013
0.87975000000000	-4.0161984521415
0.88406250000000	-4.0583087852727
0.88837500000000	-4.1007142521789
0.89268750000000	-4.1440879183410
0.89700000000000	-4.1874900013379
0.90131250000000	-4.2313952641002
0.90562500000000	-4.2761474184281
0.90993750000000	-4.3215143002302
0.91425000000000	-4.3672542880797
0.91856250000000	-4.4134550026545
0.92287500000000	-4.4604756517490
0.92718750000000	-4.5077592076618
0.93150000000000	-4.5554445725177
